time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
1255,1,0,6.84157,16.2545,13.2486,0.0915031,27,5.16835,0.28105,0.118266,0.00449013,0.00289092,8.31479,0,55,8,0,197,0,0,0,0,0,0.1541,2424,0.0204195,2424,0.0233867,2424,0.110108,2424,0.105087,2424,0.0007013,2424,0.0033996,172,0.0012787,303,0.09943,2424,0.0072306,2424,0.0038694,2424,0,0,0.0015195,21,0.0010587,2424,0.0022287,2424,0.0232934,2424,0.0009762,2424,0.000242,2424,0.0576644,2424,0.0086589,2424,0.0363776,2424,0.0110303,2424,268711,2424
1355,1,1,5.0891,14.0214,13.3259,0.183937,27,5.66524,0.489254,0.149451,0.00709886,0.00398503,10.4981,0,55,8,0,197,0,0,0,0,0,0.168945,2624,0.0221869,2624,0.02599,2624,0.12057,2624,0.114971,2624,0.0007673,2624,0.0036972,185,0.0014166,328,0.108771,2624,0.0078928,2624,0.0042646,2624,0,0,0.0015462,22,0.0011736,2624,0.0024114,2624,0.025756,2624,0.0010724,2624,0.0002631,2624,0.0629023,2624,0.0095009,2624,0.0395063,2624,0.0121796,2624,286511,2624
1455,1,1,3.86237,11.9896,13.1923,0.12775,28,6.01004,0.500247,0.14576,0.00735621,0.0041156,10.2563,0,54,8,0,197,0,0,0,0,0,0.181893,2824,0.0231629,2824,0.0283542,2824,0.130166,2824,0.124077,2824,0.0008285,2824,0.0038693,197,0.0015351,353,0.11749,2824,0.0085474,2824,0.0046174,2824,0,0,0.0015462,22,0.0012812,2824,0.0025865,2824,0.0280709,2824,0.0011709,2824,0.0002815,2824,0.0677827,2824,0.0102098,2824,0.0423162,2824,0.0134103,2824,304311,2824
1555,1,0,2.70366,10.1324,12.8863,0.134069,28,5.1273,0.344187,0.125081,0.00514197,0.00521014,9.62902,0,51,12,0,197,0,0,0,0,0,0.194832,3024,0.0241089,3024,0.0307675,3024,0.139733,3024,0.133148,3024,0.0008923,3024,0.0041004,210,0.0016469,378,0.126125,3024,0.0091548,3024,0.0049735,3024,0,0,0.0015462,22,0.0013853,3024,0.0029024,3024,0.0303175,3024,0.0012544,3024,0.0003006,3024,0.0725574,3024,0.011034,3024,0.0450334,3024,0.0145098,3024,322111,3024
1655,1,0,1.89256,8.48445,12.4461,0.125233,28,5.2403,0.345519,0.139863,0.00533184,0.00412676,11.3886,0,44,7,0,197,0,0,0,0,0,0.206507,3224,0.0249836,3224,0.0328745,3224,0.148415,3224,0.141393,3224,0.0009646,3224,0.0042633,222,0.001752,403,0.134004,3224,0.0097645,3224,0.0053649,3224,0,0,0.0015462,22,0.0014803,3224,0.00312,3224,0.0323647,3224,0.0013351,3224,0.0003195,3224,0.0768593,3224,0.0117066,3224,0.0476004,3224,0.0154577,3224,339911,3224
1755,1,2,1.92479,7.17252,11.9187,0.113836,27,4.74561,0.295121,0.110868,0.00497758,0.00347058,10.4764,0,35,6,0,197,0,0,0,0,0,0.220689,3424,0.0258648,3424,0.0354261,3424,0.159152,3424,0.151595,3424,0.001048,3424,0.0044676,235,0.001857,428,0.143784,3424,0.0104779,3424,0.0057759,3424,0,0,0.0015462,22,0.001607,3424,0.0033426,3424,0.0347689,3424,0.001436,3424,0.000341,3424,0.0825006,3424,0.0125684,3424,0.0509681,3424,0.0167406,3424,357711,3424
1855,1,0,1.34735,6.00749,11.3276,0.131748,27,6.48841,0.338243,0.14351,0.00582849,0.00428102,11.2264,0,51,8,0,197,0,0,0,0,0,0.235213,3624,0.027004,3624,0.0380583,3624,0.169894,3624,0.1618,3624,0.0011185,3624,0.0046945,247,0.0019876,453,0.153531,3624,0.0111691,3624,0.006187,3624,0,0,0.0015462,22,0.0017248,3624,0.0035637,3624,0.0373808,3624,0.0015355,3624,0.0003639,3624,0.0879187,3624,0.0134538,3624,0.0542091,3624,0.0179072,3624,375511,3624
1955,1,1,1.24315,5.05462,10.7003,0.104897,27,4.92434,0.29236,0.11809,0.00497171,0.0036082,11.0293,0,45,8,0,197,0,0,0,0,0,0.247933,3824,0.0279044,3824,0.0403142,3824,0.179444,3824,0.170872,3824,0.0011801,3824,0.0050079,260,0.002131,478,0.162057,3824,0.0118125,3824,0.006571,3824,0,0,0.0015462,22,0.0018312,3824,0.0037303,3824,0.0395969,3824,0.0016182,3824,0.0003809,3824,0.0926981,3824,0.0142448,3824,0.0569708,3824,0.0190061,3824,393311,3824
2055,1,1,1.1702,4.27774,10.0581,0.117939,27,5.02757,0.326352,0.120323,0.0060634,0.00337478,10.5368,0,42,7,0,197,0,0,0,0,0,0.26104,4024,0.0288656,4024,0.0427193,4024,0.189174,4024,0.180107,4024,0.0012437,4024,0.0051816,272,0.0022229,503,0.17093,4024,0.0124503,4024,0.0069368,4024,0,0,0.0015791,23,0.0019328,4024,0.0039114,4024,0.0419032,4024,0.0017089,4024,0.0004007,4024,0.0977028,4024,0.0150923,4024,0.0598977,4024,0.0201051,4024,411111,4024
2155,1,2,1.41914,3.70602,9.42286,0.124975,27,5.77668,0.4432,0.14714,0.00542365,0.00471294,11.4939,0,42,9,0,197,0,0,0,0,0,0.275777,4224,0.0303756,4224,0.0453633,4224,0.199742,4224,0.190166,4224,0.0013478,4224,0.0054565,285,0.0023391,528,0.180468,4224,0.0131523,4224,0.0073224,4224,0,0,0.0015791,23,0.0020502,4224,0.0041705,4224,0.0444891,4224,0.0018086,4224,0.0004232,4224,0.102925,4224,0.0159584,4224,0.0629978,4224,0.0212194,4224,428911,4224
