time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
4255,1,0,0.279207,1.02474,3.08623,0.180578,27,2.67752,0.260178,0.0516011,0.00490752,0.00300892,14.3654,0,20,5,0,197,0,0,0,0,0,0.540293,8424,0.0451051,8424,0.0808756,8424,0.413771,8424,0.396318,8424,0.0024412,8424,0.012919,556,0.0041774,1053,0.375697,8424,0.0232735,8424,0.0134802,8424,0,0,0.0016195,24,0.0038132,8424,0.0075151,8424,0.0797253,8424,0.0033728,8424,0.0008324,8424,0.237413,8424,0.0331904,8424,0.160275,8424,0.0381659,8424,1051779,8424
4355,1,0,0.195445,0.858885,2.8635,0.148788,27,2.75674,0.306517,0.0621185,0.00516699,0.00347205,12.9351,0,18,4,0,197,0,0,0,0,0,0.554303,8624,0.0458266,8624,0.082604,8624,0.425319,8624,0.407466,8624,0.0024936,8624,0.0132491,569,0.0042556,1078,0.38636,8624,0.0237694,8624,0.0137914,8624,0,0,0.0016195,24,0.0039017,8624,0.0076558,8624,0.0815421,8624,0.0034486,8624,0.0008515,8624,0.245027,8624,0.0341793,8624,0.165922,8624,0.0389814,8624,1083779,8624
4455,1,0,0.136811,0.71447,2.6486,0.14267,30,3.3872,0.248329,0.0595841,0.00456619,0.00339815,12.884,0,32,7,0,197,0,0,0,0,0,0.569829,8824,0.0465691,8824,0.0845519,8824,0.438143,8824,0.419855,8824,0.0025537,8824,0.0136053,581,0.0043517,1103,0.398212,8824,0.0243615,8824,0.0141353,8824,0,0,0.0016195,24,0.0039982,8824,0.0078613,8824,0.0836019,8824,0.0035277,8824,0.0008724,8824,0.253372,8824,0.0353181,8824,0.171967,8824,0.0399356,8824,1115779,8824
4555,1,1,0.395768,0.65073,2.44881,0.180248,27,2.60856,0.263056,0.0525892,0.00420322,0.00309946,13.9461,0,22,6,0,197,0,0,0,0,0,0.585555,9024,0.0473694,9024,0.0864608,9024,0.451148,9024,0.43242,9024,0.0026141,9024,0.0140144,594,0.0044739,1128,0.410158,9024,0.0249909,9024,0.0144574,9024,0,0,0.0016195,24,0.0040918,9024,0.0080473,9024,0.0855531,9024,0.003614,9024,0.0008936,9024,0.261916,9024,0.0364257,9024,0.178309,9024,0.0408508,9024,1147779,9024
4655,1,1,0.577037,0.635991,2.26753,0.188702,34,2.63953,0.277991,0.0694721,0.00455105,0.00477697,15.6487,0,20,4,0,197,0,0,0,0,0,0.601641,9224,0.0482343,9224,0.0885159,9224,0.464301,9224,0.445142,9224,0.0026744,9224,0.0145509,606,0.0045801,1153,0.422153,9224,0.025573,9224,0.0148009,9224,0,0,0.0016195,24,0.0041979,9224,0.0082479,9224,0.0876258,9224,0.0036982,9224,0.0009156,9224,0.270369,9224,0.0374952,9224,0.18455,9224,0.0418073,9224,1179779,9224
4755,1,0,0.403926,0.589578,2.09973,0.112103,27,2.42948,0.241506,0.0538927,0.00431907,0.0031662,11.8968,0,21,5,0,197,0,0,0,0,0,0.615339,9424,0.0489801,9424,0.0902497,9424,0.475509,9424,0.455953,9424,0.0027343,9424,0.0148774,619,0.0046644,1178,0.432469,9424,0.0260706,9424,0.0151076,9424,0,0,0.0016195,24,0.0042833,9424,0.0084109,9424,0.089395,9424,0.0037715,9424,0.0009345,9424,0.277669,9424,0.0384427,9424,0.189938,9424,0.042616,9424,1211779,9424
4855,1,0,0.282748,0.528212,1.94258,0.165966,30,2.68183,0.260261,0.0587371,0.00457942,0.00337343,13.1042,0,17,5,0,197,0,0,0,0,0,0.629049,9624,0.0497055,9624,0.0919985,9624,0.486732,9624,0.466783,9624,0.002788,9624,0.0152087,631,0.0047516,1203,0.442802,9624,0.0265881,9624,0.0154269,9624,0,0,0.0016195,24,0.0043682,9624,0.0085702,9624,0.0911556,9624,0.0038457,9624,0.0009544,9624,0.284958,9624,0.0393855,9624,0.195306,9624,0.0434477,9624,1243779,9624
4955,1,0,0.197924,0.462155,1.79454,0.121262,27,2.26338,0.241174,0.0494751,0.00362339,0.00287289,11.3874,0,20,6,0,197,0,0,0,0,0,0.641952,9824,0.0503127,9824,0.0936061,9824,0.49741,9824,0.477077,9824,0.0028451,9824,0.0155522,644,0.0048346,1228,0.45259,9824,0.0270557,9824,0.015711,9824,0,0,0.0016195,24,0.0044575,9824,0.0087064,9824,0.0928244,9824,0.0039157,9824,0.0009772,9824,0.291912,9824,0.0402027,9824,0.200415,9824,0.0443154,9824,1275779,9824
5055,1,0,0.138547,0.397433,1.65483,0.124252,27,2.23322,0.205943,0.0475065,0.00350905,0.0028141,11.4515,0,29,7,0,197,0,0,0,0,0,0.654324,10024,0.0508977,10024,0.0952012,10024,0.507591,10024,0.4869,10024,0.002895,10024,0.0158212,656,0.0049073,1253,0.461997,10024,0.0275085,10024,0.0159901,10024,0,0,0.0016195,24,0.0045326,10024,0.0088652,10024,0.09443,10024,0.0039828,10024,0.0009957,10024,0.298573,10024,0.0410175,10024,0.205381,10024,0.0450538,10024,1307779,10024
5155,1,0,0.0969827,0.337343,1.52308,0.196388,27,2.70956,0.262054,0.0558216,0.00447639,0.00306755,13.1106,0,20,5,0,197,0,0,0,0,0,0.668206,10224,0.051581,10224,0.096883,10224,0.519097,10224,0.497993,10224,0.0029488,10224,0.016189,669,0.0049888,1278,0.472564,10224,0.0279898,10224,0.0162979,10224,0,0,0.0016195,24,0.0046245,10224,0.009062,10224,0.096217,10224,0.0040592,10224,0.0010253,10224,0.306068,10224,0.0420206,10224,0.210832,10224,0.045943,10224,1339779,10224
5255,1,0,0.0678879,0.283452,1.39912,0.11368,28,2.33517,0.258232,0.0484836,0.00400517,0.00294686,11.9326,0,18,6,0,197,0,0,0,0,0,0.68322,10424,0.0523047,10424,0.0987388,10424,0.53152,10424,0.510024,10424,0.0030051,10424,0.0165606,681,0.0050913,1303,0.484041,10424,0.0285098,10424,0.0166376,10424,0,0,0.0016321,25,0.0047128,10424,0.0092368,10424,0.0981744,10424,0.0041416,10424,0.0010475,10424,0.314232,10424,0.043169,10424,0.21665,10424,0.0469351,10424,1371779,10424
5355,1,0,0.0475215,0.236266,1.28283,0.178591,27,2.18204,0.212188,0.0554753,0.00467073,0.00349943,13.4834,0,16,4,0,197,0,0,0,0,0,0.699751,10624,0.0530754,10624,0.100892,10624,0.545117,10624,0.52314,10624,0.0030636,10624,0.016925,694,0.0051811,1328,0.49662,10624,0.0290929,10624,0.0169922,10624,0,0,0.0016321,25,0.0048144,10624,0.0094079,10624,0.100268,10624,0.0042262,10624,0.00107,10624,0.323262,10624,0.0443569,10624,0.223322,10624,0.0478944,10624,1403779,10624
5455,1,1,0.333265,0.255666,1.18011,0.207148,30,2.77579,0.366282,0.0778383,0.00868932,0.00441812,14.1475,0,17,5,0,197,0,0,0,0,0,0.71589,10824,0.0538773,10824,0.102965,10824,0.55837,10824,0.535918,10824,0.0031239,10824,0.0173583,706,0.0052787,1353,0.50878,10824,0.0296703,10824,0.0173644,10824,0,0,0.0016321,25,0.0049105,10824,0.0096188,10824,0.10233,10824,0.0043088,10824,0.0010925,10824,0.331883,10824,0.0454807,10824,0.229608,10824,0.0489138,10824,1435779,10824
5555,1,0,0.233286,0.25119,1.08722,0.117479,28,2.22111,0.235069,0.0570825,0.0040594,0.0037334,12.8655,0,20,5,0,197,0,0,0,0,0,0.72887,11024,0.0544884,11024,0.104595,11024,0.569098,11024,0.546258,11024,0.0031745,11024,0.017684,719,0.0053692,1378,0.518628,11024,0.0301324,11024,0.017675,11024,0,0,0.0016526,26,0.0049931,11024,0.0098003,11024,0.104037,11024,0.004398,11024,0.0011129,11024,0.338728,11024,0.0463361,11024,0.234679,11024,0.049685,11024,1467779,11024
5655,1,0,0.1633,0.233612,1.00186,0.102549,30,1.98177,0.212627,0.0423219,0.00322264,0.00301815,10.5848,0,18,5,0,197,0,0,0,0,0,0.73929,11224,0.0549428,11224,0.105804,11224,0.577844,11224,0.554707,11224,0.0032187,11224,0.0179194,731,0.0054315,1403,0.526712,11224,0.0305419,11224,0.0179628,11224,0,0,0.0016526,26,0.00508,11224,0.0099168,11224,0.105544,11224,0.0044605,11224,0.0011311,11224,0.344241,11224,0.0469799,11224,0.23877,11224,0.0503341,11224,1499779,11224
5755,1,0,0.11431,0.209751,0.92265,0.140888,28,2.11452,0.182094,0.049064,0.00404025,0.00277593,11.4589,0,19,5,0,197,0,0,0,0,0,0.752065,11424,0.0555396,11424,0.107447,11424,0.588369,11424,0.564869,11424,0.0032722,11424,0.0182621,744,0.0055108,1428,0.536374,11424,0.0310093,11424,0.0182466,11424,0,0,0.0016526,26,0.0051671,11424,0.0100729,11424,0.107256,11424,0.0045302,11424,0.0011509,11424,0.351003,11424,0.0478759,11424,0.24371,11424,0.0511051,11424,1531779,11424
5855,1,0,0.0800169,0.183804,0.848766,0.172001,28,1.80463,0.182244,0.0582932,0.003837,0.00317144,11.5691,0,17,4,0,197,0,0,0,0,0,0.767161,11624,0.0562508,11624,0.109472,11624,0.600718,11624,0.576803,11624,0.0033301,11624,0.0186539,756,0.0056084,1453,0.547733,11624,0.0315351,11624,0.0186023,11624,0,0,0.0016526,26,0.0052594,11624,0.0102784,11624,0.109151,11624,0.0046106,11624,0.0011715,11624,0.359082,11624,0.0489632,11624,0.249642,11624,0.0519977,11624,1563779,11624
5955,1,0,0.0560119,0.158246,0.779714,0.184593,27,2.43704,0.198989,0.0617374,0.00562706,0.00361154,15.0068,0,17,4,0,197,0,0,0,0,0,0.783959,11824,0.0570668,11824,0.111773,11824,0.614386,11824,0.590002,11824,0.0033889,11824,0.0190862,769,0.0057053,1478,0.560316,11824,0.0322665,11824,0.0189571,11824,0,0,0.0016526,26,0.005387,11824,0.0104533,11824,0.111463,11824,0.0047394,11824,0.0011943,11824,0.3677,11824,0.0500765,11824,0.255974,11824,0.0529796,11824,1595779,11824
6055,1,1,0.339208,0.194438,0.721186,0.121788,27,2.33018,0.198288,0.0522758,0.00461006,0.00308633,15.2999,0,17,6,0,197,0,0,0,0,0,0.800791,12024,0.0578823,12024,0.113983,12024,0.628152,12024,0.60324,12024,0.0034453,12024,0.0194029,782,0.0058173,1503,0.573041,12024,0.0328871,12024,0.0193041,12024,0,0,0.0016526,26,0.0054787,12024,0.0106207,12024,0.113741,12024,0.0048837,12024,0.0012161,12024,0.376593,12024,0.0511981,12024,0.262555,12024,0.0539447,12024,1627779,12024
